,108_MC_B2_S20,109_NegContCooler_C2_S53,110_NegSC_D2_S4,NPB_F10_10_F7_S24,NPB_F10_11_G7_S25,NPB_F10_12_H7_S26,NPB_F10_1_E6_S15,NPB_F10_2_F6_S16,NPB_F10_3_G6_S17,NPB_F10_4_H6_S18,NPB_F10_5_A7_S19,NPB_F10_6_B7_S20,NPB_F10_7_C7_S21,NPB_F10_8_D7_S22,NPB_F10_9_E7_S23,NPB_F1_10_B3_S10,NPB_F11_10_B9_S36,NPB_F11_11_C9_S37,NPB_F11_12_D9_S38,NPB_F11_1_A8_S27,NPB_F1_11_C3_S11,NPB_F11_2_B8_S28,NPB_F1_12_D3_S12,NPB_F11_3_C8_S29,NPB_F11_4_D8_S30,NPB_F11_5_E8_S31,NPB_F11_6_F8_S32,NPB_F11_7_G8_S33,NPB_F11_8_H8_S34,NPB_F11_9_A9_S35,NPB_F1_1_A2_S1,NPB_F12_10_F10_S48,NPB_F12_11_G10_S49,NPB_F12_12_H10_S50,NPB_F12_1_E9_S39,NPB_F12_2_F9_S40,NPB_F12_3_G9_S41,NPB_F12_4_H9_S42,NPB_F12_5_A10_S43,NPB_F12_6_B10_S44,NPB_F12_7_C10_S45,NPB_F12_8_D10_S46,NPB_F12_9_E10_S47,NPB_F1_2_B2_S2,NPB_F13_10_B12_S60,NPB_F13_11_C12_S61,NPB_F13_12_D12_S62,NPB_F13_1_A11_S51,NPB_F13_2_B11_S52,NPB_F13_3_C11_S53,NPB_F13_4_D11_S54,NPB_F13_5_E11_S55,NPB_F13_6_F11_S56,NPB_F13_7_G11_S57,NPB_F13_8_H11_S58,NPB_F13_9_A12_S59,NPB_F1_3_C2_S3,NPB_F14_10_F1_S72,NPB_F14_11_G1_S73,NPB_F14_12_H1_S74,NPB_F14_1_E12_S63,NPB_F14_2_F12_S64,NPB_F14_3_G12_S65,NPB_F14_4_H12_S66,NPB_F14_5_A1_S67,NPB_F14_6_B1_S68,NPB_F14_7_C1_S69,NPB_F14_8_D1_S70,NPB_F14_9_E1_S71,NPB_F1_4_D2_S4,NPB_F15_10_B3_S84,NPB_F15_11_C3_S85,NPB_F15_12_D3_S86,NPB_F15_1_A2_S75,NPB_F15_2_B2_S76,NPB_F15_3_C2_S77,NPB_F15_4_D2_S78,NPB_F15_5_E2_S79,NPB_F15_6_F2_S80,NPB_F15_7_G2_S81,NPB_F15_8_H2_S82,NPB_F15_9_A3_S83,NPB_F1_5_E2_S5,NPB_F16_10_F4_S51,NPB_F16_11_G4_S52,NPB_F16_12_H4_S53,NPB_F16_1_E3_S87,NPB_F16_2_F3_S88,NPB_F16_3_G3_S89,NPB_F16_4_H3_S90,NPB_F16_5_A4_S91,NPB_F16_6_B4_S92,NPB_F16_7_C4_S48,NPB_F16_8_D4_S49,NPB_F16_9_E4_S50,NPB_F1_6_F2_S6,NPB_F17_10_B6_S63,NPB_F17_11_C6_S64,NPB_F17_12_D6_S65,NPB_F17_1_A5_S54,NPB_F17_2_B5_S55,NPB_F17_3_C5_S56,NPB_F17_4_D5_S57,NPB_F17_5_E5_S58,NPB_F17_6_F5_S59,NPB_F17_7_G5_S60,NPB_F17_8_H5_S61,NPB_F17_9_A6_S62,NPB_F1_7_G2_S7,NPB_F18_10_F7_S75,NPB_F18_11_G7_S76,NPB_F18_12_H7_S77,NPB_F18_1_E6_S66,NPB_F18_2_F6_S67,NPB_F18_3_G6_S68,NPB_F18_4_H6_S69,NPB_F18_5_A7_S70,NPB_F18_6_B7_S71,NPB_F18_7_C7_S72,NPB_F18_8_D7_S73,NPB_F18_9_E7_S74,NPB_F1_8_H2_S8,NPB_F1_9_A3_S9,NPB_F2_10_F4_S22,NPB_F2_11_G4_S23,NPB_F2_12_H4_S24,NPB_F2_1_E3_S13,NPB_F2_2_F3_S14,NPB_F2_3_G3_S15,NPB_F2_4_H3_S16,NPB_F2_5_A4_S17,NPB_F2_6_B4_S18,NPB_F2_7_C4_S19,NPB_F2_8_D4_S20,NPB_F2_9_E4_S21,NPB_F3_10_B6_S34,NPB_F3_11_C6_S35,NPB_F3_12_D6_S36,NPB_F3_1_A5_S25,NPB_F3_2_B5_S26,NPB_F3_3_C5_S27,NPB_F3_4_D5_S28,NPB_F3_5_E5_S29,NPB_F3_6_F5_S30,NPB_F3_7_G5_S31,NPB_F3_8_H5_S32,NPB_F3_9_A6_S33,NPB_F4_10_F7_S46,NPB_F4_11_G7_S47,NPB_F4_12_H7_S1,NPB_F4_1_E6_S37,NPB_F4_2_F6_S38,NPB_F4_3_G6_S39,NPB_F4_4_H6_S40,NPB_F4_5_A7_S41,NPB_F4_6_B7_S42,NPB_F4_7_C7_S43,NPB_F4_8_D7_S44,NPB_F4_9_E7_S45,NPB_F5_10_B9_S11,NPB_F5_11_C9_S12,NPB_F5_12_D9_S13,NPB_F5_1_A8_S2,NPB_F5_2_B8_S3,NPB_F5_3_C8_S4,NPB_F5_4_D8_S5,NPB_F5_5_E8_S6,NPB_F5_6_F8_S7,NPB_F5_7_G8_S8,NPB_F5_8_H8_S9,NPB_F5_9_A9_S10,NPB_F6_10_F10_S23,NPB_F6_11_G10_S24,NPB_F6_12_H10_S25,NPB_F6_1_E9_S14,NPB_F6_2_F9_S15,NPB_F6_3_G9_S16,NPB_F6_4_H9_S17,NPB_F6_5_A10_S18,NPB_F6_6_B10_S19,NPB_F6_7_C10_S20,NPB_F6_8_D10_S21,NPB_F6_9_E10_S22,NPB_F7_10_B12_S35,NPB_F7_11_C12_S36,NPB_F7_12_D12_S37,NPB_F7_1_A11_S26,NPB_F7_2_B11_S27,NPB_F7_3_C11_S28,NPB_F7_4_D11_S29,NPB_F7_5_E11_S30,NPB_F7_6_F11_S31,NPB_F7_7_G11_S32,NPB_F7_8_H11_S33,NPB_F7_9_A12_S34,NPB_F8_10_F4_S47,NPB_F8_11_G4_S1,NPB_F8_12_H4_S2,NPB_F8_1_E12_S38,NPB_F8_2_F12_S39,NPB_F8_3_G12_S40,NPB_F8_4_H12_S41,NPB_F8_5_A4_S42,NPB_F8_6_B4_S43,NPB_F8_7_C4_S44,NPB_F8_8_D4_S45,NPB_F8_9_E4_S46,NPB_F9_10_B6_S12,NPB_F9_11_C6_S13,NPB_F9_12_D6_S14,NPB_F9_1_A5_S3,NPB_F9_2_B5_S4,NPB_F9_3_C5_S5,NPB_F9_4_D5_S6,NPB_F9_5_E5_S7,NPB_F9_6_F5_S8,NPB_F9_7_G5_S9,NPB_F9_8_H5_S10,NPB_F9_9_A6_S11
MEG_2534|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7685|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1022|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4168|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,8207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,77,0,0,0,0,0,0,30,0,0,0,0,0,0,59,38,0,0,64,0,0,0,0,0,0,0,31,53,0,53,0,0,65,37,0,0,0,91,0,0,0,971,384,348,260,140,462,403,112,361,153,0,551,2239,111,207,77,329,529,422,118,167,478,0,108,332,0,834,167,0,620,324,73,680,401,320,157,286,0,126,0,0,77,0,0,70,0,0,200,82,38,33,0,0,0,184,0,0,91,78,102,88,0,0,67,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,29,21,0,0,81,0,22,0,0,78,24,48,0,37,0,0,0,0,27,0,82,0,31,0,0
MEG_4976|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,54,0,0,33,0,0,0,0,0,0,72,0,56,0,0,0,0,102,0,0,0,83,0,0,0,0,0,0,0,52,50,0,0,0,0,48,31,0,0,0,100,45,0,0,844,268,378,212,126,497,327,185,359,173,0,550,1632,30,186,46,301,436,343,123,135,432,0,119,339,0,857,197,0,533,198,61,566,362,349,116,199,0,136,0,0,79,0,0,56,0,0,223,52,0,38,0,0,0,124,0,0,55,46,81,60,0,0,49,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,31,24,0,0,87,0,0,0,0,104,32,45,0,49,0,0,0,0,52,0,107,46,0,0,0
MEG_893|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_795|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_932|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1278|Drugs|betalactams|Class_C_betalactamases|BLAEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,29,0,0,0,0,128,0,0,34,0,0,0,0,0,0,0,0,0,0,0,295,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1348|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2714|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,200,0,43,41,174,620,268,44,62,0,0,80,0,52,0,0,0,0,227,25,0,13,0,34,0,0,0,105,0,249,81,0,0,0,83,0,118,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2115|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5386|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,974708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,302,0,0,0,0,0,0,0,0,199,0,0,0,52,0,151,110,0,0,0,0,0,0,0,580,125,0,0,257,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2617|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,6695,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,11,0,0,18,0,0,0,15,0,0,0,0,0,0,0,8,15,0,0,0,0,11,0,0,0,0,27,9,0,0,257,65,89,90,41,115,97,23,96,26,0,154,458,9,57,14,112,89,141,13,53,126,0,0,99,0,263,61,0,150,82,15,195,146,88,44,46,0,16,0,0,23,0,0,10,0,0,88,11,0,0,0,0,0,30,0,0,18,5,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,6,0,0,25,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0
MEG_7245|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETY,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,27,84,51,239,0,0,0,76,0,0,0,38,0,110,40,84,0,52,165,0,27,0,0,0,0,0,399,109,54,64,29,62,0,170,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6927|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4973|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_4686|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
