sample-id	sample_type	meat_type	Meat_type	specific_sample_type	treatment	pool_timepoint	participant_id	weeks_in_pool	arm	blinded_treatment	treatment_order	Combined_order	End_washout	End_trial	End_trial_combined	unique_group	raw_paired_reads	ASV_hits	Trial	Habitating	Co-Habitating
HFT-F-103G_S21	Fecal	NA	NA Fecal	Fecal	NA	G	103	2	2	B	AB	Final_Washout	Group1_G			Group1_G	75722	24945		Shared	Shared_2
HFT-F-104A_S22	Fecal	NA	NA Fecal	Fecal	NA	A	104	2	1	A	AB	Start_RWA	Group1_A			Group1_A	93712	33157			
HFT-F-104B_S23	Fecal	NA	NA Fecal	Fecal	NA	B	104	2	1	A	AB	Midpoint_RWA				Group1_B	110544	36600	Group 1		
HFT-F-104C_S24	Fecal	NA	NA Fecal	Fecal	NA	C	104	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	92488	32682	Group 1		
HFT-F-104D_S25	Fecal	NA	NA Fecal	Fecal	NA	D	104	2	3	D	AB	Start_CONV	Group1_D			Group1_D	129618	44093			
HFT-F-104E_S26	Fecal	NA	NA Fecal	Fecal	NA	E	104	2	2	B	AB	Midpoint_CONV				Group1_E	90994	27821	Group 2		
HFT-F-104F_S27	Fecal	NA	NA Fecal	Fecal	NA	F	104	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	236884	65390	Group 2		
HFT-F-104G_S28	Fecal	NA	NA Fecal	Fecal	NA	G	104	2	2	B	AB	Final_Washout	Group1_G			Group1_G	254938	88045			
HFT-F-105A_S29	Fecal	NA	NA Fecal	Fecal	NA	A	105	2	1	A	AB	Start_RWA	Group1_A			Group1_A	222856	79479		Shared	Shared_2
HFT-F-105B_S30	Fecal	NA	NA Fecal	Fecal	NA	B	105	2	1	A	AB	Midpoint_RWA				Group1_B	100430	17585	Group 1	Shared	Shared_2
HFT-F-105C_S31	Fecal	NA	NA Fecal	Fecal	NA	C	105	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	117696	40703	Group 1	Shared	Shared_2
HFT-F-105D_S32	Fecal	NA	NA Fecal	Fecal	NA	D	105	2	3	D	AB	Start_CONV	Group1_D			Group1_D	75376	27205		Shared	Shared_2
HFT-F-105E_S33	Fecal	NA	NA Fecal	Fecal	NA	E	105	2	2	B	AB	Midpoint_CONV				Group1_E	87700	32533	Group 2	Shared	Shared_2
HFT-F-105F_S35	Fecal	NA	NA Fecal	Fecal	NA	F	105	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	164296	56252	Group 2	Shared	Shared_2
HFT-F-105G_S36	Fecal	NA	NA Fecal	Fecal	NA	G	105	2	2	B	AB	Final_Washout	Group1_G			Group1_G	694940	253880		Shared	Shared_2
HFT-F-106A_S37	Fecal	NA	NA Fecal	Fecal	NA	A	106	2	1	B	BA	Start_CONV	Group2_A			Group2_A	89982	33980			
HFT-F-106B_S38	Fecal	NA	NA Fecal	Fecal	NA	B	106	2	1	B	BA	Midpoint_CONV				Group2_B	149894	56328	Group 2		
HFT-F-106C_S39	Fecal	NA	NA Fecal	Fecal	NA	C	106	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	202446	73250	Group 2		
HFT-F-106D_S40	Fecal	NA	NA Fecal	Fecal	NA	D	106	2	3	D	BA	Start_RWA	Group2_D			Group2_D	330654	114377			
HFT-F-106E_S41	Fecal	NA	NA Fecal	Fecal	NA	E	106	2	2	A	BA	Midpoint_RWA				Group2_E	107562	40680	Group 1		
HFT-F-106F_S42	Fecal	NA	NA Fecal	Fecal	NA	F	106	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	98870	37742	Group 1		
HFT-F-106G_S43	Fecal	NA	NA Fecal	Fecal	NA	G	106	2	2	A	BA	Final_Washout	Group2_G			Group2_G	115140	42831			
HFT-F-108A_S44	Fecal	NA	NA Fecal	Fecal	NA	A	108	2	1	A	AB	Start_RWA	Group1_A			Group1_A	86816	32074		Control	
HFT-F-108B_S45	Fecal	NA	NA Fecal	Fecal	NA	B	108	2	1	A	AB	Midpoint_RWA				Group1_B	76498	27922	Group 1	Control	
HFT-F-108C_S46	Fecal	NA	NA Fecal	Fecal	NA	C	108	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	70790	26385	Group 1	Control	
HFT-F-108D_S47	Fecal	NA	NA Fecal	Fecal	NA	D	108	2	3	D	AB	Start_CONV	Group1_D			Group1_D	156292	59161		Control	
HFT-F-108E_S48	Fecal	NA	NA Fecal	Fecal	NA	E	108	2	2	B	AB	Midpoint_CONV				Group1_E	93156	27152	Group 2	Control	
HFT-F-108-F_S49	Fecal	NA	NA Fecal	Fecal	NA	F	108	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	115142	44327	Group 2	Control	
HFT-F-108G_S50	Fecal	NA	NA Fecal	Fecal	NA	G	108	2	2	B	AB	Final_Washout	Group1_G			Group1_G	96336	34584		Control	
HFT-F-110A_S51	Fecal	NA	NA Fecal	Fecal	NA	A	110	2	1	B	BA	Start_CONV	Group2_A			Group2_A	106224	37951			
HFT-F-110B_S52	Fecal	NA	NA Fecal	Fecal	NA	B	110	2	1	B	BA	Midpoint_CONV				Group2_B	516818	191708	Group 2		
HFT-F-110C_S53	Fecal	NA	NA Fecal	Fecal	NA	C	110	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	106052	40885	Group 2		
HFT-F-110D_S54	Fecal	NA	NA Fecal	Fecal	NA	D	110	2	3	D	BA	Start_RWA	Group2_D			Group2_D	170042	61138			
HFT-F-110E_S55	Fecal	NA	NA Fecal	Fecal	NA	E	110	2	2	A	BA	Midpoint_RWA				Group2_E	107316	38374	Group 1		
HFT-F-110F_S56	Fecal	NA	NA Fecal	Fecal	NA	F	110	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	107590	36872	Group 1		
HFT-F-110G_S57	Fecal	NA	NA Fecal	Fecal	NA	G	110	2	2	A	BA	Final_Washout	Group2_G			Group2_G	81344	27546			
HFT-F-111A_S58	Fecal	NA	NA Fecal	Fecal	NA	A	111	2	1	B	BA	Start_CONV	Group2_A			Group2_A	104990	37663			
HFT-F-111B_S59	Fecal	NA	NA Fecal	Fecal	NA	B	111	2	1	B	BA	Midpoint_CONV				Group2_B	86260	31376	Group 2		
HFT-F-111C_S60	Fecal	NA	NA Fecal	Fecal	NA	C	111	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	79268	24944	Group 2		
HFT-F-111D_S61	Fecal	NA	NA Fecal	Fecal	NA	D	111	2	3	D	BA	Start_RWA	Group2_D			Group2_D	103242	32972			
HFT-F-111E_S62	Fecal	NA	NA Fecal	Fecal	NA	E	111	2	2	A	BA	Midpoint_RWA				Group2_E	83868	29807	Group 1		
HFT-F-111F_S63	Fecal	NA	NA Fecal	Fecal	NA	F	111	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	79072	29256	Group 1		
HFT-F-111G_S64	Fecal	NA	NA Fecal	Fecal	NA	G	111	2	2	A	BA	Final_Washout	Group2_G			Group2_G	86424	32949			
HFT-F-113A_S65	Fecal	NA	NA Fecal	Fecal	NA	A	113	2	1	B	BA	Start_CONV	Group2_A			Group2_A	107312	39485		Control	
HFT-F-113B_S66	Fecal	NA	NA Fecal	Fecal	NA	B	113	2	1	B	BA	Midpoint_CONV				Group2_B	106184	40226	Group 2	Control	
HFT-F-113C_S67	Fecal	NA	NA Fecal	Fecal	NA	C	113	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	67494	22448	Group 2	Control	
HFT-113D_S68	Fecal	NA	NA Fecal	Fecal	NA	D	113	2	3	D	BA	Start_RWA	Group2_D			Group2_D	103658	39964		Control	
HFT-F-114A_S69	Fecal	NA	NA Fecal	Fecal	NA	A	114	2	1	B	BA	Start_CONV	Group2_A			Group2_A	73890	19631			
HFT-F-114B_S70	Fecal	NA	NA Fecal	Fecal	NA	B	114	2	1	B	BA	Midpoint_CONV				Group2_B	96584	35825	Group 2		
HFT-F-114C_S71	Fecal	NA	NA Fecal	Fecal	NA	C	114	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	91288	34765	Group 2		
HFT-F-114D_S72	Fecal	NA	NA Fecal	Fecal	NA	D	114	2	3	D	BA	Start_RWA	Group2_D			Group2_D	4450	631			
HFT-F-114E_S73	Fecal	NA	NA Fecal	Fecal	NA	E	114	2	2	A	BA	Midpoint_RWA				Group2_E	98010	36627	Group 1		
HFT-F-114F_S74	Fecal	NA	NA Fecal	Fecal	NA	F	114	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	84100	31855	Group 1		
HFT-F-114G_S75	Fecal	NA	NA Fecal	Fecal	NA	G	114	2	2	A	BA	Final_Washout	Group2_G			Group2_G	95270	33896			
HFT-F-115A_S76	Fecal	NA	NA Fecal	Fecal	NA	A	115	2	1	B	BA	Start_CONV	Group2_A			Group2_A	19218	3579		Control	
HFT-F-115B_S77	Fecal	NA	NA Fecal	Fecal	NA	B	115	2	1	B	BA	Midpoint_CONV				Group2_B	76838	29046	Group 2	Control	
HFT-F-115C_S78	Fecal	NA	NA Fecal	Fecal	NA	C	115	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	13400	2163	Group 2	Control	
HFT-F-115D_S79	Fecal	NA	NA Fecal	Fecal	NA	D	115	2	3	D	BA	Start_RWA	Group2_D			Group2_D	100112	38542		Control	
HFT-F-117A_S80	Fecal	NA	NA Fecal	Fecal	NA	A	117	2	1	A	AB	Start_RWA	Group1_A			Group1_A	79696	23930		Shared	Shared_1
HFT-F-117B_S81	Fecal	NA	NA Fecal	Fecal	NA	B	117	2	1	A	AB	Midpoint_RWA				Group1_B	65010	21300	Group 1	Shared	Shared_1
HFT-F-117C_S82	Fecal	NA	NA Fecal	Fecal	NA	C	117	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	299810	100805	Group 1	Shared	Shared_1
HFT-F-118A_S83	Fecal	NA	NA Fecal	Fecal	NA	A	118	2	1	B	BA	Start_CONV	Group2_A			Group2_A	98972	33645		Shared	Shared_1
HFT-F-118B_S84	Fecal	NA	NA Fecal	Fecal	NA	B	118	2	1	B	BA	Midpoint_CONV				Group2_B	56366	4737	Group 2	Shared	Shared_1
HFT-F-118C_S85	Fecal	NA	NA Fecal	Fecal	NA	C	118	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	88410	30045	Group 2	Shared	Shared_1
HFT-F-120A_S86	Fecal	NA	NA Fecal	Fecal	NA	A	120	2	1	B	BA	Start_CONV	Group2_A			Group2_A	379922	151505			
HFT-F-120B_S87	Fecal	NA	NA Fecal	Fecal	NA	B	120	2	1	B	BA	Midpoint_CONV				Group2_B	282580	110186	Group 2		
HFT-F-120C_S88	Fecal	NA	NA Fecal	Fecal	NA	C	120	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	180118	66517	Group 2		
HFT-F-120D_S89	Fecal	NA	NA Fecal	Fecal	NA	D	120	2	3	D	BA	Start_RWA	Group2_D			Group2_D	244536	95762			
HFT-F-120E_S90	Fecal	NA	NA Fecal	Fecal	NA	E	120	2	2	A	BA	Midpoint_RWA				Group2_E	337242	128945	Group 1		
HFT-F-120F_S91	Fecal	NA	NA Fecal	Fecal	NA	F	120	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	271708	92442	Group 1		
HFT-F-120G_S92	Fecal	NA	NA Fecal	Fecal	NA	G	120	2	2	A	BA	Final_Washout	Group2_G			Group2_G	329880	122115			
HFT-F-121A_S93	Fecal	NA	NA Fecal	Fecal	NA	A	121	2	1	B	BA	Start_CONV	Group2_A			Group2_A	338024	123890			
HFT-F-121B_S94	Fecal	NA	NA Fecal	Fecal	NA	B	121	2	1	B	BA	Midpoint_CONV				Group2_B	261766	97492	Group 2		
HFT-F-121C_S95	Fecal	NA	NA Fecal	Fecal	NA	C	121	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	323202	123417	Group 2		
HFT-F-121D_S96	Fecal	NA	NA Fecal	Fecal	NA	D	121	2	3	D	BA	Start_RWA	Group2_D			Group2_D	279722	102970			
HFT-F-121E_S97	Fecal	NA	NA Fecal	Fecal	NA	E	121	2	2	A	BA	Midpoint_RWA				Group2_E	354270	127277	Group 1		
HFT-F-121F_S98	Fecal	NA	NA Fecal	Fecal	NA	F	121	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	415866	156652	Group 1		
HFT-F-121G_S99	Fecal	NA	NA Fecal	Fecal	NA	G	121	2	2	A	BA	Final_Washout	Group2_G			Group2_G	455864	139937			
HFT-F-122C_S102	Fecal	NA	NA Fecal	Fecal	NA	C	122	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	134676	38993	Group 1		
HFT-F-122D_S103	Fecal	NA	NA Fecal	Fecal	NA	D	122	2	3	D	AB	Start_CONV	Group1_D			Group1_D	170704	64468			
HFT-F-122E_S104	Fecal	NA	NA Fecal	Fecal	NA	E	122	2	2	B	AB	Midpoint_CONV				Group1_E	146140	54729	Group 2		
HFT-F-122F_S105	Fecal	NA	NA Fecal	Fecal	NA	F	122	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	135244	50672	Group 2		
HFT-F-122G_S106	Fecal	NA	NA Fecal	Fecal	NA	G	122	2	2	B	AB	Final_Washout	Group1_G			Group1_G	120792	40893			
HFT-F-123A_S107	Fecal	NA	NA Fecal	Fecal	NA	A	123	2	1	B	BA	Start_CONV	Group2_A			Group2_A	268694	95507			
HFT-F-123B_S108	Fecal	NA	NA Fecal	Fecal	NA	B	123	2	1	B	BA	Midpoint_CONV				Group2_B	83524	31274	Group 2		
HFT-F-123C_S109	Fecal	NA	NA Fecal	Fecal	NA	C	123	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	234444	88944	Group 2		
HFT-F-123D_S110	Fecal	NA	NA Fecal	Fecal	NA	D	123	2	3	D	BA	Start_RWA	Group2_D			Group2_D	82538	31104			
HFT-F-123F_S112	Fecal	NA	NA Fecal	Fecal	NA	F	123	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	377030	142749	Group 1		
HFT-F-123G_S113	Fecal	NA	NA Fecal	Fecal	NA	G	123	2	2	A	BA	Final_Washout	Group2_G			Group2_G	259060	96226			
HFT-F-124A_S114	Fecal	NA	NA Fecal	Fecal	NA	A	124	2	1	A	AB	Start_RWA	Group1_A			Group1_A	293618	111611			
HFT-F-124B_S115	Fecal	NA	NA Fecal	Fecal	NA	B	124	2	1	A	AB	Midpoint_RWA				Group1_B	89138	33703	Group 1		
HFT-F-124C_S116	Fecal	NA	NA Fecal	Fecal	NA	C	124	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	87968	34126	Group 1		
HFT-F-124D_S117	Fecal	NA	NA Fecal	Fecal	NA	D	124	2	3	D	AB	Start_CONV	Group1_D			Group1_D	70600	26304			
HFT-F-124E_S118	Fecal	NA	NA Fecal	Fecal	NA	E	124	2	2	B	AB	Midpoint_CONV				Group1_E	82374	30905	Group 2		
HFT-F-124F_S119	Fecal	NA	NA Fecal	Fecal	NA	F	124	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	80858	30672	Group 2		
HFT-F-124G_S120	Fecal	NA	NA Fecal	Fecal	NA	G	124	2	2	B	AB	Final_Washout	Group1_G			Group1_G	82176	30456			
HFT-F-126A_S121	Fecal	NA	NA Fecal	Fecal	NA	A	126	2	1	A	AB	Start_RWA	Group1_A			Group1_A	91592	33492			
HFT-F-126B_S122	Fecal	NA	NA Fecal	Fecal	NA	B	126	2	1	A	AB	Midpoint_RWA				Group1_B	86984	31400	Group 1		
HFT-F-126C_S123	Fecal	NA	NA Fecal	Fecal	NA	C	126	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	87690	32175	Group 1		
HFT-F-126D_S124	Fecal	NA	NA Fecal	Fecal	NA	D	126	2	3	D	AB	Start_CONV	Group1_D			Group1_D	73574	26575			
HFT-F-126E_S125	Fecal	NA	NA Fecal	Fecal	NA	E	126	2	2	B	AB	Midpoint_CONV				Group1_E	72902	23144	Group 2		
HFT-F-126F_S126	Fecal	NA	NA Fecal	Fecal	NA	F	126	2	2	B	AB	End_CONV		Group1_B	Blinded_B	Group1_F	88044	31321	Group 2		
HFT-F-126G_S127	Fecal	NA	NA Fecal	Fecal	NA	G	126	2	2	B	AB	Final_Washout	Group1_G			Group1_G	87402	30989			
HFT-F-128A_S128	Fecal	NA	NA Fecal	Fecal	NA	A	128	2	1	B	BA	Start_CONV	Group2_A			Group2_A	90998	30514			
HFT-F-128B_S129	Fecal	NA	NA Fecal	Fecal	NA	B	128	2	1	B	BA	Midpoint_CONV				Group2_B	68026	19160	Group 2		
HFT-F-128C_S130	Fecal	NA	NA Fecal	Fecal	NA	C	128	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	78314	22557	Group 2		
HFT-F-128D_S131	Fecal	NA	NA Fecal	Fecal	NA	D	128	2	3	D	BA	Start_RWA	Group2_D			Group2_D	89832	28000			
HFT-F-128E_S132	Fecal	NA	NA Fecal	Fecal	NA	E	128	2	2	A	BA	Midpoint_RWA				Group2_E	96100	31522	Group 1		
HFT-F-128F_S133	Fecal	NA	NA Fecal	Fecal	NA	F	128	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	81938	28084	Group 1		
HFT-F-128G_S134	Fecal	NA	NA Fecal	Fecal	NA	G	128	2	2	A	BA	Final_Washout	Group2_G			Group2_G	94468	32913			
HFT-F-129A_S135	Fecal	NA	NA Fecal	Fecal	NA	A	129	2	1	B	BA	Start_CONV	Group2_A			Group2_A	98368	38561			
HFT-F-129B_S136	Fecal	NA	NA Fecal	Fecal	NA	B	129	2	1	B	BA	Midpoint_CONV				Group2_B	83762	32045	Group 2		
HFT-F-129C_S137	Fecal	NA	NA Fecal	Fecal	NA	C	129	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	66340	21714	Group 2		
HFT-F-129D_S138	Fecal	NA	NA Fecal	Fecal	NA	D	129	2	3	D	BA	Start_RWA	Group2_D			Group2_D	70318	26837			
HFT-F-129E_S139	Fecal	NA	NA Fecal	Fecal	NA	E	129	2	2	A	BA	Midpoint_RWA				Group2_E	91456	33688	Group 1		
HFT-F-129F_S140	Fecal	NA	NA Fecal	Fecal	NA	F	129	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	94238	35971	Group 1		
HFT-F-129G_S141	Fecal	NA	NA Fecal	Fecal	NA	G	129	2	2	A	BA	Final_Washout	Group2_G			Group2_G	107326	41000			
HFT-F-130A_S142	Fecal	NA	NA Fecal	Fecal	NA	A	130	2	1	B	BA	Start_CONV	Group2_A			Group2_A	103450	39092		Control	
HFT-F-130B_S143	Fecal	NA	NA Fecal	Fecal	NA	B	130	2	1	B	BA	Midpoint_CONV				Group2_B	98884	36178	Group 2	Control	
HFT-F-130C_S144	Fecal	NA	NA Fecal	Fecal	NA	C	130	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	93270	35961	Group 2	Control	
HFT-F-130D_S145	Fecal	NA	NA Fecal	Fecal	NA	D	130	2	3	D	BA	Start_RWA	Group2_D			Group2_D	87494	31268		Control	
HFT-F-130E_S146	Fecal	NA	NA Fecal	Fecal	NA	E	130	2	2	A	BA	Midpoint_RWA				Group2_E	132224	49479	Group 1	Control	
HFT-F-130F_S147	Fecal	NA	NA Fecal	Fecal	NA	F	130	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	99098	35817	Group 1	Control	
HFT-F-130G_S148	Fecal	NA	NA Fecal	Fecal	NA	G	130	2	2	A	BA	Final_Washout	Group2_G			Group2_G	92270	34660		Control	
HFT-F-132A_S149	Fecal	NA	NA Fecal	Fecal	NA	A	132	2	1	B	BA	Start_CONV	Group2_A			Group2_A	96406	31971			
HFT-F-132B_S150	Fecal	NA	NA Fecal	Fecal	NA	B	132	2	1	B	BA	Midpoint_CONV				Group2_B	121302	44473	Group 2		
HFT-F-132C_S151	Fecal	NA	NA Fecal	Fecal	NA	C	132	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	77016	26782	Group 2		
HFT-F-132D_S152	Fecal	NA	NA Fecal	Fecal	NA	D	132	2	3	D	BA	Start_RWA	Group2_D			Group2_D	86948	31474			
HFT-F-132E_S153	Fecal	NA	NA Fecal	Fecal	NA	E	132	2	2	A	BA	Midpoint_RWA				Group2_E	99914	37277	Group 1		
HFT-F-132F_S154	Fecal	NA	NA Fecal	Fecal	NA	F	132	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	99608	36472	Group 1		
HFT-F-132G_S155	Fecal	NA	NA Fecal	Fecal	NA	G	132	2	2	A	BA	Final_Washout	Group2_G			Group2_G	97314	35517			
HFT-F-133A_S165	Fecal	NA	NA Fecal	Fecal	NA	A	133	2	1	B	BA	Start_CONV	Group2_A			Group2_A	60904	23963			
HFT-F-133B_S166	Fecal	NA	NA Fecal	Fecal	NA	B	133	2	1	B	BA	Midpoint_CONV				Group2_B	70204	26152	Group 2		
HFT-F-133C_S167	Fecal	NA	NA Fecal	Fecal	NA	C	133	2	1	B	BA	End_CONV		Group2_B	Blinded_B	Group2_C	86940	33895	Group 2		
HFT-F-133D_S156	Fecal	NA	NA Fecal	Fecal	NA	D	133	2	3	D	BA	Start_RWA	Group2_D			Group2_D	90862	32212			
HFT-F-133E_S157	Fecal	NA	NA Fecal	Fecal	NA	E	133	2	2	A	BA	Midpoint_RWA				Group2_E	83436	31560	Group 1		
HFT-F-133F_S158	Fecal	NA	NA Fecal	Fecal	NA	F	133	2	2	A	BA	End_RWA		Group2_A	Blinded_A	Group2_F	86970	31640	Group 1		
HFT-F-133G_S159	Fecal	NA	NA Fecal	Fecal	NA	G	133	2	2	A	BA	Final_Washout	Group2_G			Group2_G	101242	37294			
HFT-F-135A_S160	Fecal	NA	NA Fecal	Fecal	NA	A	135	2	1	A	AB	Start_RWA	Group1_A			Group1_A	88208	31902			
HFT-F-135B_S161	Fecal	NA	NA Fecal	Fecal	NA	B	135	2	1	A	AB	Midpoint_RWA				Group1_B	108970	40015	Group 1		
HFT-F-135C_S162	Fecal	NA	NA Fecal	Fecal	NA	C	135	2	1	A	AB	End_RWA		Group1_A	Blinded_A	Group1_C	47552	16900	Group 1		
CG1_S6	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	1	NA	2	1	NA	NA						300034	142090	Meat		
CS1_S5	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	1	NA	2	1	NA	NA						261396	114649	Meat		
RG1_S8	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	1	NA	2	1	NA	NA						245948	89306	Meat		
RS1_S7	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	1	NA	2	1	NA	NA						255866	104277	Meat		
CG2_S10	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	2	NA	2	1	NA	NA						261944	119197	Meat		
CS2_S9	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	2	NA	2	1	NA	NA						155566	65992	Meat		
RG2_S12	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	2	NA	2	1	NA	NA						175996	61786	Meat		
RP2_S81	Rinsate Pool	NA	RP Rinsate Pool	Rinsate Pool	RP	2	NA	4	1	NA	NA						193402	75366	Meat		
RS2_S11	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	2	NA	2	1	NA	NA						245750	101058	Meat		
CG3_S14	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	3	NA	2	1	NA	NA						250566	117835	Meat		
CS3_S13	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	3	NA	2	1	NA	NA						240514	115400	Meat		
RG3_S16	Meat Rinsate	Ground Beef	RWA Ground Beef	Ground Beef	RWA	3	NA	2	1	NA	NA						261356	110830	Meat		
RS3_S15	Meat Rinsate	Sirloin	RWA Sirloin	Sirloin	RWA	3	NA	2	1	NA	NA						266808	118213	Meat		
CG4_S18	Meat Rinsate	Ground Beef	CONV Ground Beef	Ground Beef	Conventional	4	NA	2	1	NA	NA						264978	113168	Meat		
CS4_S17	Meat Rinsate	Sirloin	CONV Sirloin	Sirloin	Conventional	4	NA	2	1	NA	NA						214670	102102	Meat		
